about_handler_template	This is the Megagames Administration Website.	Ceci est le Site d'Administration des Megagame.
about_handler_license	This software is distributed under an MIT license.	Ce logiciel est distribué sous une licence MIT.
footer_generated	This application has been generated using the	Cette application a été générée en utilisant le template d'
footer_eliom_distillery	template for Eliom-distillery and uses the	avec Eliom-distillery et utilise les technologies
footer_technology	 technology.	.
home	{{{capitalize?H||h}}}ome	{{{capitalize?H||h}}}ome
about	{{{capitalize?A||a}}}bout	{{{capitalize?À||à}}} propos
demo	Demo	Démo
password	{{{capitalize?P||p}}}assword	{{{capitalize?M||m}}}ot de passe
retype_password	retype your password	retapez votre mot de passe
your_email	{{{capitalize?Y||y}}}our email	{{{capitalize?V||v}}}otre e-mail
your_password	{{{capitalize?Y||y}}}our password	{{{capitalize?V||v}}}otre mot de passe
keep_logged_in	keep me logged in	rester connecté
sign_in	{{{capitalize?S||s}}}ign in	{{{capitalize?S||s}}}e connecter
forgot_your_password_q	{{{capitalize?F||f}}}orgot your password?	{{{capitalize?M||m}}}ot de passe oublié ?
register	{{{capitalize?S||s}}}ign up	{{{capitalize?S||s}}}'enregistrer
logout	{{{capitalize?L||l}}}ogout	{{{capitalize?S||s}}}e déconnecter
set_as_main_email	{{{capitalize?S||s}}}et as main email	{{{capitalize?D||d}}}éfinir comme e-mail principal
validated	{{{capitalize?V||v}}}alidated	{{{capitalize?V||v}}}alidé{{{f?e||}}}
waiting_confirmation	{{{capitalize?W||w}}}aiting for confirmation	{{{capitalize?E||e}}}n attente de confirmation
main_email	{{{capitalize?M||m}}}ain email	{{{capitalize?E||e}}}-mail principal
change_password	{{{capitalize?C||c}}}hange your password:	{{{capitalize?C||c}}}hanger votre mot de passe :
link_new_email	Link a new email to your account:	Ajouter une adresse e-mail à votre compte :
currently_registered_emails	Currently registered emails:	E-mails actuellement enregistrés :
settings	{{{capitalize?S||s}}}ettings	{{{capitalize?P||p}}}aramètres
error	{{{capitalize?E||e}}}rror	{{{capitalize?E||e}}}rreur
example_tip	This is an example of tip.	Ceci est un exemple de tip.
passwords_do_not_match	Passwords do not match	Les mots de passe ne correspondent pas
generate_action_link_key_subject_email	creation	création
